  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   79.84 baz:  198.70 residPP(T/U/B)   -0.83 0.48 -8.00 predPP(T/U) 858.73 8.12 measPPBeam(T/U/AMP) 857.90 8.60 -0.358 measPPxf(T/U/F/rB/aB) 859.92 8.60  14.14 -8.00 -169.00 fmin 0.05 fmax 0.50 SNRbeam  3.91 SNRmean  2.65 SNRstdev  0.71 SNRminmax  1.27  3.61 amp: -0.9 -1 SAME : NOCONT   NONE stanum 14	sta BLDW DT1 DTN DOL PN7A PS1A SDPT VNKR VNSW VNSO VNWF VNCG VNSG VNBL notused BLDW
 79 :   62.6699 -148.5570  777.91 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   88.70 baz:  209.40 residPP(T/U/B)   -9.77 -2.42  0.00 predPP(T/U) 929.32 7.82 measPPBeam(T/U/AMP) 919.55 5.40 -0.174 measPPxf(T/U/F/rB/aB) 922.07 5.40  15.48 0.00 -151.00 fmin 0.05 fmax 0.50 SNRbeam  1.98 SNRmean  2.70 SNRstdev  0.87 SNRminmax  1.23  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 59	sta SLK CAPN SPCL N20K SPCR SPU SPBG SPCN SPNN SPCG STLK FIRE RC01 PWL SKN PMR KNK GHO VMT SAW DIV L22K CUT SCM KLU PS12 CAST N25K WAT7 WAT6 WAT1 PS11 KTH CHUM TRF WACK HARP RND DHY BPAW MCK PAX PS10 MENT NEA2 K24K MLY WRH GRES GREN RIDG HDA CCB I23K PS08 MDM SCRK POKR J25K notused BPAW
 80 :   62.9762 -147.4790  757.24 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   89.21 baz:  210.30 residPP(T/U/B)   -4.86 -2.40  4.00 predPP(T/U) 933.31 7.80 measPPBeam(T/U/AMP) 928.45 5.40 -0.190 measPPxf(T/U/F/rB/aB) 932.18 5.40  18.56 4.00 -146.00 fmin 0.05 fmax 0.50 SNRbeam  1.77 SNRmean  2.67 SNRstdev  0.86 SNRminmax  1.23  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 52	sta FIRE RC01 PWL SKN PMR KNK GHO VMT SAW DIV L22K CUT BMR SCM KLU PS12 CAST N25K WAT7 WAT6 GLB WAT1 PS11 KTH CHUM TRF WACK HARP RND DHY BPAW MCK PAX PS10 MENT L26K NEA2 K24K MLY WRH GRES GREN RIDG HDA CCB I23K PS08 MDM SCRK POKR J25K J26L notused BMR
 81 :   62.7662 -146.1030  849.08 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   89.35 baz:  211.60 residPP(T/U/B)  -11.92 -2.39  2.00 predPP(T/U) 934.42 7.79 measPPBeam(T/U/AMP) 922.50 5.40 -0.230 measPPxf(T/U/F/rB/aB) 925.59 5.40  33.11 2.00 -146.00 fmin 0.05 fmax 0.50 SNRbeam  2.26 SNRmean  2.71 SNRstdev  0.82 SNRminmax  1.23  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta EYAK PMR KNK GHO VMT SAW DIV L22K CUT BMR SCM KLU CRQ PS12 VRDI N25K WAT7 WAT6 GLB WAT1 BAL PS11 MCAR TRF WACK HARP RND DHY MCK PAX PS10 MENT M27K L26K NEA2 K24K WRH BVCY GRES GREN RIDG HDA CCB PS08 MDM SCRK POKR J25K K27K J26L notused BAL
 82 :   62.3501 -144.1290 1092.03 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   89.49 baz:  213.30 residPP(T/U/B)  -12.09 -2.39  2.00 predPP(T/U) 935.49 7.79 measPPBeam(T/U/AMP) 923.40 5.40 -0.226 measPPxf(T/U/F/rB/aB) 926.22 5.40  28.98 2.00 -145.00 fmin 0.05 fmax 0.50 SNRbeam  2.34 SNRmean  2.65 SNRstdev  0.90 SNRminmax  1.23  4.06 amp: -0.9 -1 SAME : NOCONT   NONE stanum 43	sta VMT DIV BMR SCM KLU CRQ PS12 TGL ISLE VRDI N25K KIAG GRNC WAT6 GLB WAT1 BAL PS11 MCAR LOGN BARN WACK HARP DHY PAX YUK8 PS10 YUK3 MENT M27K L26K K24K BVCY GRES GREN RIDG HDA PS08 SCRK J25K K27K J26L DAWY notused BAL
 93 :   65.3096 -152.6960  396.22 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   90.20 baz:  205.60 residPP(T/U/B)   -6.67 -1.96 -12.00 predPP(T/U) 941.02 7.76 measPPBeam(T/U/AMP) 934.35 5.80 -0.252 measPPxf(T/U/F/rB/aB) 936.75 5.80  14.51 -12.00 -166.00 fmin 0.05 fmax 0.50 SNRbeam  1.58 SNRmean  2.48 SNRstdev  0.77 SNRminmax  1.26  3.89 amp: -1.0 -1 SAME : NOCONT   NONE stanum 18	sta J19K CAST J20K GCSA CHUM BPAW H20K I21K F18K MLY H21K I23K H22K PS06 H23K F20K PS05 G23K notused BPAW
 95 :   64.6191 -149.4970  619.81 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   90.20 baz:  208.50 residPP(T/U/B)   -0.73 -2.36  0.00 predPP(T/U) 941.03 7.76 measPPBeam(T/U/AMP) 940.30 5.40 -0.196 measPPxf(T/U/F/rB/aB) 944.50 5.40  15.43 0.00 -151.00 fmin 0.05 fmax 0.50 SNRbeam  1.68 SNRmean  2.60 SNRstdev  0.83 SNRminmax  1.26  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta J19K CAST WAT7 WAT1 J20K KTH CHUM TRF RND DHY BPAW MCK H20K I21K NEA2 K24K MLY WRH GRES GREN H21K HDA CCB I23K PS08 MDM H22K POKR J25K PS06 H23K H24K PS05 G23K G24K notused BPAW
 96 :   64.6325 -148.9900  622.99 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   90.32 baz:  209.00 residPP(T/U/B)   -0.98 -2.36  0.00 predPP(T/U) 941.93 7.76 measPPBeam(T/U/AMP) 940.95 5.40 -0.205 measPPxf(T/U/F/rB/aB) 945.29 5.40  17.46 0.00 -151.00 fmin 0.05 fmax 0.50 SNRbeam  1.64 SNRmean  2.58 SNRstdev  0.82 SNRminmax  1.26  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 37	sta CAST WAT7 WAT1 J20K KTH CHUM TRF RND DHY BPAW MCK H20K PS10 I21K NEA2 K24K MLY WRH GRES GREN RIDG H21K HDA CCB I23K PS08 MDM H22K POKR J25K PS06 H23K H24K PS05 G23K G24K FYU notused BPAW
 97 :   64.6148 -148.0560  688.28 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   90.50 baz:  209.80 residPP(T/U/B)   -1.44 -2.35  0.00 predPP(T/U) 943.34 7.75 measPPBeam(T/U/AMP) 941.90 5.40 -0.209 measPPxf(T/U/F/rB/aB) 946.12 5.40  22.93 0.00 -150.00 fmin 0.05 fmax 0.50 SNRbeam  1.63 SNRmean  2.49 SNRstdev  0.83 SNRminmax  1.26  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta WAT7 WAT1 KTH CHUM TRF RND DHY BPAW MCK PAX PS10 I21K NEA2 K24K MLY WRH GRES GREN RIDG H21K HDA CCB I23K PS08 MDM SCRK H22K POKR J25K PS06 H23K J26L H24K PS05 G23K G24K FYU I27K notused BPAW
 98 :   64.2402 -146.8910  741.99 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   90.43 baz:  210.90 residPP(T/U/B)   -1.10 -2.35  2.00 predPP(T/U) 942.80 7.75 measPPBeam(T/U/AMP) 941.70 5.40 -0.255 measPPxf(T/U/F/rB/aB) 943.30 5.40  18.97 2.00 -147.00 fmin 0.05 fmax 0.50 SNRbeam  1.42 SNRmean  2.58 SNRstdev  0.87 SNRminmax  1.26  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta WAT7 WAT6 WAT1 TRF HARP RND DHY BPAW MCK PAX PS10 MENT L26K NEA2 K24K MLY WRH GRES GREN RIDG HDA CCB I23K PS08 MDM SCRK POKR J25K PS06 H23K K27K J26L H24K G24K FYU I27K notused BPAW
112 :   66.3141 -150.0820  519.09 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   91.58 baz:  208.00 residPP(T/U/B)   -2.19 -1.92  4.00 predPP(T/U) 951.69 7.72 measPPBeam(T/U/AMP) 949.50 5.80 -0.250 measPPxf(T/U/F/rB/aB) 951.57 5.80  14.33 4.00 -148.00 fmin 0.05 fmax 0.50 SNRbeam  1.56 SNRmean  2.51 SNRstdev  0.77 SNRminmax  1.26  3.89 amp: -1.0 -1 SAME : NOCONT   NONE stanum 23	sta H20K I21K NEA2 MLY H21K CCB I23K MDM H22K POKR PS06 H23K F20K H24K PS05 G23K G24K FYU E22K E24K D22K PS04 TOLK notused CCB
114 :   65.9100 -148.9930  532.58 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   91.43 baz:  209.00 residPP(T/U/B)   -1.48 -2.12  2.00 predPP(T/U) 950.58 7.72 measPPBeam(T/U/AMP) 949.10 5.60 -0.265 measPPxf(T/U/F/rB/aB) 951.16 5.60  19.45 2.00 -149.00 fmin 0.05 fmax 0.50 SNRbeam  1.79 SNRmean  2.47 SNRstdev  0.84 SNRminmax  1.26  4.71 amp: -1.0 -1 SAME : NOCONT   NONE stanum 24	sta I21K NEA2 MLY WRH H21K HDA CCB I23K PS08 MDM H22K POKR J25K PS06 H23K H24K PS05 G23K G24K FYU E22K E24K PS04 TOLK notused CCB
115 :   65.9340 -146.9100  566.43 :   66.5657 -145.2342   FYU grid:   67.0000 -145.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   91.88 baz:  210.90 residPP(T/U/B)   -4.71 -2.11  0.00 predPP(T/U) 954.01 7.71 measPPBeam(T/U/AMP) 949.30 5.60 -0.307 measPPxf(T/U/F/rB/aB) 953.44 5.60  16.14 0.00 -149.00 fmin 0.05 fmax 0.50 SNRbeam  1.92 SNRmean  2.54 SNRstdev  0.84 SNRminmax  1.35  4.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 21	sta WRH HDA CCB I23K PS08 MDM POKR J25K PS06 H23K J26L H24K PS05 G23K G24K FYU I27K E24K PS04 CROWY E27K notused CCB
